VCD info: dumpfile dump.vcd opened for output.
clk=1 rst_n=0 push=1 pop=0 write_data=00000000 read_data=xxxxxxxx pointer=00
clk=0 rst_n=0 push=1 pop=0 write_data=00000000 read_data=xxxxxxxx pointer=00
clk=1 rst_n=0 push=1 pop=0 write_data=00000001 read_data=xxxxxxxx pointer=00
clk=0 rst_n=1 push=1 pop=0 write_data=00000001 read_data=xxxxxxxx pointer=00
clk=1 rst_n=1 push=1 pop=0 write_data=00000010 read_data=xxxxxxxx pointer=01
clk=0 rst_n=1 push=1 pop=0 write_data=00000010 read_data=xxxxxxxx pointer=01
clk=1 rst_n=1 push=1 pop=0 write_data=00000011 read_data=xxxxxxxx pointer=10
clk=0 rst_n=1 push=1 pop=0 write_data=00000011 read_data=xxxxxxxx pointer=10
clk=1 rst_n=1 push=1 pop=0 write_data=00000100 read_data=xxxxxxxx pointer=11
clk=0 rst_n=1 push=1 pop=0 write_data=00000100 read_data=xxxxxxxx pointer=11
clk=1 rst_n=1 push=1 pop=0 write_data=00000101 read_data=xxxxxxxx pointer=11
clk=0 rst_n=1 push=1 pop=0 write_data=00000101 read_data=xxxxxxxx pointer=11
clk=1 rst_n=1 push=0 pop=1 write_data=00000110 read_data=00000100 pointer=10
clk=0 rst_n=1 push=0 pop=1 write_data=00000110 read_data=00000100 pointer=10
clk=1 rst_n=1 push=0 pop=1 write_data=00000111 read_data=00000011 pointer=01
clk=0 rst_n=1 push=0 pop=1 write_data=00000111 read_data=00000011 pointer=01
clk=1 rst_n=1 push=0 pop=1 write_data=00001000 read_data=00000010 pointer=00
clk=0 rst_n=1 push=0 pop=1 write_data=00001000 read_data=00000010 pointer=00
clk=1 rst_n=1 push=0 pop=1 write_data=00001001 read_data=00000000 pointer=00
clk=0 rst_n=1 push=0 pop=1 write_data=00001001 read_data=00000000 pointer=00
clk=1 rst_n=1 push=0 pop=1 write_data=00001011 read_data=00000000 pointer=00
clk=0 rst_n=1 push=0 pop=1 write_data=00001011 read_data=00000000 pointer=00
..\testbench.v:62: $finish called at 220 (1ns)
clk=1 rst_n=1 push=0 pop=1 write_data=00001011 read_data=00000000 pointer=00
